keyword,avg_monthly_searches,competition,intent,funnel_stage,cluster,target_url,sources
mentoría 1 a 1 para empresa de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría de procesos para empresa de limpieza,,Unknown,Transaccional,BOFU,Procesos / Precios,https://ngsolutions.training/producto/mentoria-intensiva-para-empresas-de-limpieza-en-fase-0/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
mentoría finanzas para empresa de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría jobber en español,,Unknown,Transaccional,BOFU,Jobber / Automatización,https://ngsolutions.training/producto/organizacion-y-automatizacion-con-jobber/,"1.Keyword Stats 2025-12-26 at 12_51_46.csv, 3.Keyword Stats 2025-12-26 at 12_55_19.csv"
mentoría marketing empresa de limpieza,,Unknown,Transaccional,BOFU,Marketing & Ventas / Marca,https://ngsolutions.training/producto/transforma-tu-empresa-de-limpieza-en-una-marca-reconocida-y-automatizada-con-procesos-de-venta-efectivos/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
mentoría marketing para empresa de limpieza,,Unknown,Transaccional,BOFU,Marketing & Ventas / Marca,https://ngsolutions.training/producto/transforma-tu-empresa-de-limpieza-en-una-marca-reconocida-y-automatizada-con-procesos-de-venta-efectivos/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría negocio de limpieza en estados unidos,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría negocio de limpieza en usa,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría para conseguir más clientes de limpieza en usa,,Unknown,Transaccional,BOFU,Mercado local / Clientes,https://ngsolutions.training/producto/ruta-de-crecimiento-ng-organiza-y-escala/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría para empresa de limpieza en usa,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría para empresas de limpieza en usa,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría para escalar empresa de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría para organizar procesos de limpieza,,Unknown,Transaccional,BOFU,Procesos / Precios,https://ngsolutions.training/producto/mentoria-intensiva-para-empresas-de-limpieza-en-fase-0/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
mentoría para organizar procesos de limpieza y precios,,Unknown,Transaccional,BOFU,Procesos / Precios,https://ngsolutions.training/producto/mentoria-intensiva-para-empresas-de-limpieza-en-fase-0/,2.Keyword Stats 2025-12-26 at 12_53_30.csv
mentoría precios negocio de limpieza,,Unknown,Transaccional,BOFU,Procesos / Precios,https://ngsolutions.training/producto/mentoria-intensiva-para-empresas-de-limpieza-en-fase-0/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
mentoría quickbooks empresa de limpieza,,Unknown,Transaccional,BOFU,Finanzas / QuickBooks,https://ngsolutions.training/producto/implementacion-de-quickbooks-online-para-empresas-de-limpieza/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
mentoría quickbooks para empresa de limpieza,,Unknown,Transaccional,BOFU,Finanzas / QuickBooks,https://ngsolutions.training/producto/implementacion-de-quickbooks-online-para-empresas-de-limpieza/,1.Keyword Stats 2025-12-26 at 12_51_46.csv
mentoría uno a uno empresa de limpieza,,Unknown,Transaccional,BOFU,Mentorías (general),https://ngsolutions.training/mentorias/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
precios empresa de limpieza mentoría,,Unknown,Transaccional,BOFU,Procesos / Precios,https://ngsolutions.training/producto/mentoria-intensiva-para-empresas-de-limpieza-en-fase-0/,4.Keyword Stats 2025-12-26 at 12_54_29.csv
profesional de la limpieza,50.0,Unknown,Comercial,MOFU/BOFU,Otros,https://ngsolutions.training/,Keyword Stats 2025-12-30 at 02_27_33.csv
profesional de limpieza,50.0,Low,Comercial,MOFU/BOFU,Otros,https://ngsolutions.training/,Keyword Stats 2025-12-30 at 02_27_33.csv
quickbooks negocio de limpieza,,Unknown,Comercial,MOFU/BOFU,Finanzas / QuickBooks,https://ngsolutions.training/producto/implementacion-de-quickbooks-online-para-empresas-de-limpieza/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
quickbooks para empresa de limpieza,,Unknown,Comercial,MOFU/BOFU,Finanzas / QuickBooks,https://ngsolutions.training/producto/implementacion-de-quickbooks-online-para-empresas-de-limpieza/,3.Keyword Stats 2025-12-26 at 12_55_19.csv
